IP:PORT, LOSS, DELAY
188.114.99.58:988,0.00%,291 ms
162.159.192.178:4500,0.00%,292 ms
162.159.195.118:988,0.00%,296 ms
162.159.195.188:4500,0.00%,301 ms
188.114.97.246:4500,0.00%,301 ms
188.114.98.64:4500,0.00%,303 ms
188.114.97.118:4500,0.00%,304 ms
188.114.96.205:988,0.00%,307 ms
188.114.99.160:988,0.00%,307 ms
162.159.195.188:988,0.00%,307 ms
188.114.96.137:988,0.00%,309 ms
188.114.99.21:988,0.00%,310 ms
188.114.97.26:988,0.00%,310 ms
188.114.97.27:4500,0.00%,311 ms
188.114.98.247:4500,0.00%,311 ms
188.114.97.138:988,0.00%,314 ms
188.114.97.142:988,0.00%,314 ms
162.159.195.49:988,0.00%,315 ms
188.114.96.113:4500,0.00%,317 ms
162.159.192.31:4500,0.00%,318 ms
162.159.195.49:4500,0.00%,322 ms
162.159.195.221:4500,0.00%,324 ms
188.114.96.67:988,0.00%,324 ms
188.114.96.113:988,0.00%,327 ms
162.159.195.171:4500,0.00%,327 ms
188.114.99.131:988,0.00%,327 ms
162.159.192.64:988,0.00%,327 ms
188.114.97.71:4500,0.00%,328 ms
188.114.96.67:4500,0.00%,334 ms
162.159.192.106:4500,0.00%,336 ms
188.114.98.2:4500,0.00%,336 ms
162.159.192.41:988,0.00%,338 ms
188.114.99.253:4500,0.00%,344 ms
